date,team,player,position,crimeraw,desc
1/17/2020,NE,Joejuan Williams,CB,drugs,"Pulled over for speeding in Nashville, accused of possessing a controlled substance without a prescription."
1/16/2020,CLE,Odell Beckham,WR,battery,Accused of slapping the buttocks of a police officer in the LSU locker room in New Orleans after LSU championship victory.
1/11/2020,NE,Julian Edelman,WR,vandalism,"Accused of jumping on the hood of a Mercedes in Beverly Hills, Calif., causing damage."
12/29/2019,MIA,Xavien Howard,CB,domestic violence,"Police in Davie, Fla., say he pushed his fiancee against a wall and that she had visible scratches and redness on her arm."
12/20/2019,PIT,Kameron Kelly,S,disorderly conduct,Accused of making threats and resisting arrest at bar in Pittsburgh.
12/3/2019,DAL,Antwaun Woods,DT,drugs,"Pulled over for speeding in Frisco, Texas, and accused of marijuana possession, tampering with evidence."
11/19/2019,MIA,Mark Walton,RB,domestic violence,"Police say he punched his pregnant girlfriend several times in the head in Davie, Fla."
11/6/2019,DAL,Daniel Ross,DT,drugs,"Accused of marijuana possession and unlawful carrying of a weapon in Frisco, Texas."
11/6/2019,DAL,Daniel Ross,DT,firearms,"Accused of marijuana possession and unlawful carrying of a weapon in Frisco, Texas."
10/27/2019,MIN,Jayron Kearse,S,dui,"Accused of driving drunk in Minneapolis, with loaded Glock handgun in his car without a permit."
10/27/2019,MIN,Jayron Kearse,S,drugs,"Accused of driving drunk in Minneapolis, with loaded Glock handgun in his car without a permit."
10/26/2019,MIN,Davion Davis,WR,dui,"Pulled over for speeding in St. Paul, Minn., accused of driving drunk and having blood-alcohol content of .13 percent."
10/20/2019,PIT,Anthony Chickillo,LB,domestic violence,"Accused of simple assault, criminal mischief after altercation with girlfriend at casino in Pennsylvania. Police noticed redness on her arms."
10/2/2019,JAC,Marcell Dareus,DT,drugs,"Pulled over for speeding near Atlantic Beach, Fla., accused of marijuana possession."
9/19/2019,DEN,Kareem Jackson,S,dui,"Pulled over for speeding, accused of driving drunk in Denver."
8/9/2019,ARI,Darius Philon,DT,assault,Charged with aggravated assault involving deadly weapon stemming from incident at a Phoenix strip club in May when he allegedly threatened a dancer.
8/9/2019,ARI,Darius Philon,DT,firearms,Charged with aggravated assault involving deadly weapon stemming from incident at a Phoenix strip club in May when he allegedly threatened a dancer.
8/8/2019,NE,Patrick Chung,S,drugs,Accused of felony cocaine possession in New Hampshire in June.
7/17/2019,ARI,Desmond Harrison,OT,domestic violence,"Suspected of assault and strangulation of a female during an incident at a residence in Greensboro, N.C."
7/11/2019,NYG,Kam Moore,S,domestic violence,"Accused of punching woman, stepping on her neck in domestic incident in Union County, N.J."
6/6/2019,ARI,Robert Nkemdiche,DE,traffic - other,"Pulled over for speeding, accused of driving with a suspended license in Scottsdale, Ariz."
5/25/2019,BUF,Tyrel Dodson,LB,domestic violence,"Accused of hitting his girlfriend and damaging her front door in Scottsdale, Ariz."
4/26/2019,HOU,Ryan Griffin,TE,alcohol - other,"Accused of punching out window of hotel in Nashville, public intoxication."
4/13/2019,PHI,Jalen Mills,CB,disorderly conduct,"Accused of getting into an altercation with NBA player Devin Robinson outside nightclub in Washington, D.C."
4/11/2019,JAC,Leonard Fournette,RB,traffic - other,"Pulled over for speeding in Jacksonville, accused of driving with a suspended license after not paying ticket for previous traffic violation."
4/4/2019,CIN,Mark Walton,RB,drugs,"Accused of carrying a concealed weapon, marijuana possession and reckless driving in North Miami-Dade stemming from incident on March 12."
4/4/2019,CIN,Mark Walton,RB,firearms,"Accused of carrying a concealed weapon, marijuana possession and reckless driving in North Miami-Dade stemming from incident on March 12."
3/27/2019,DAL,Tyrone Crawford,DE,disorderly conduct,"Accused of misdemeanor unlawful assembly in fight at saloon in Panama City, Fla."
3/1/2019,BAL,Alex Collins,RB,drugs,"Police responded to report of a car crash and said they found Collins with marijuana and gun in his vehicle in Owings Mills, Md."
3/1/2019,BAL,Alex Collins,RB,firearms,"Police responded to report of a car crash and said they found Collins with marijuana and gun in his vehicle in Owings Mills, Md."
3/1/2019,GB,Antonio Morrison,LB,disorderly conduct,"Accused of interfering with flight operations on plane in Milwaukee, forced to exit plane after incident over placement of a bag under seat."
2/27/2019,Free Agent,Demaryius Thomas,WR,reckless endagerment,"Charged with vehicular assault, reckless driving after passenger in his car was injured in rollover in Denver. Later signed with New England."
2/15/2019,CIN,Mark Walton,RB,battery,Accused of misdemeanor and getting into a scuffle with a woman at Walton's parking garage in Miami.
1/26/2019,DET,Trevor Bates,LB,assault,Accused of punching a police officer after not paying $32 cab fare in New York.
1/26/2019,KC,De''Anthony Thomas,WR,drugs,"Suspected of possessing marijuana and drug paraphernalia in Allen County, Kan."
1/23/2019,NO,P.J. Williams,CB,dui,"Pulled over for speeding, accused of driving drunk and careless driving in New Orleans."
1/16/2019,MIN,Roc Thomas,RB,drugs,"Charged with felony possession of marijuana after police found more than 143 grams in his apartment in Mendota Heights, Minn.."
1/16/2019,CIN,Mark Walton,RB,drugs,"Pulled over for not wearing a seat belt, accused of misdemeanor marijuana possesions in North Miami-Dade."
12/18/2018,WAS,Montae Nicholson,S,assault,"Suspected of assault and public drunkenness after police responded to a report of a fight in Ashburn, Va."
11/24/2018,SF,Reuben Foster,LB,domestic violence,Accused of pushing and slapping a woman in Tampa. Police observed scratch on woman's neck.
10/30/2018,NYG,Kyle Lauletta,QB,evading police,"Accused of resisting arrest, eluding police and reckless driving in Weehawken, N.J."
10/22/2018,DEN,Chad Kelly,QB,trespassing,"Charged with first-degree criminal trespassing after police were called about a man inside a home in Englewood, Colo."
9/16/2018,LAR,Aaron Neary,OC,dui,"Suspected of driving drunk in Simi Valley, Calif., where he registered a blood-alcohol content of 0.17 percent."
8/31/2018,DAL,Rico Gathers,TE,drugs,"Suspected of marijuana possession in Frisco, Texas."
8/29/2018,CLE,Mychal Kendricks,LB,insider trading,"Accused of taking advantage of non-public tips to enhance his financial portfolio in scheme from 2014, when he played for Philadelphia."
8/28/2018,MIN,Cayleb Jones,WR,domestic violence,"Suspected of misdemeanor domestic assault, interfering with a 911 call and theft in Eagan, Minn."
8/5/2018,CLE,Antonio Callaway,WR,drugs,"Pulled over for traffic violation in Strongsville, Ohio, accused of marijuana possession and driving with suspended license."
7/14/2018,CAR,Vernon Butler,DT,assault,Accused of pushing and throwing drink in the face of a woman at nightclub around 2 a.m. in Dallas.
7/14/2018,ARI,Ricky Seals-Jones,TE,assault,"Accused of pushing hotel staffer in effort to use the restroom in Scottsdale, Ariz."
6/15/2018,DAL,Marquez White,CB,assault,Accused of aggravated assault with a deadly weapon in apparent road-rage incident near Dallas.
6/9/2018,CIN,Logan Woodside,QB,dui,"Pulled over in Kentucky for speeding, suspected of drunken driving."
6/3/2018,IND,Chris McCain,DE,battery,"Accused of spitting on a woman and grabbing her neck in Los Angeles in Jan. 7, when he was a member of the Chargers."
6/2/2018,NYJ,Chris Herndon,TE,dui,"Suspected of driving while intoxicated Morris County, N.J., after crashing into the vehicle of a 76-year-old man."
5/19/2018,MIN,Antwione Williams,LB,dui,"Pulled over for speeding in Edina, Minn., suspected of driving drunk."
5/19/2018,DAL,Terrance Williams,WR,alcohol - other,"Suspected of public intoxication after police in Frisco, Texas found his Lamborghini abandoned after hitting a pole."
4/15/2018,GB,Trevor Davis,WR,bomb threat,Accused of talking about explosives when checking for flight at Los Angeles airport.
4/15/2018,PHI,Daryl Worley,CB,dui,Accused of resisting arrest after being found unconscious in car blocking highway in Philadelphia. Gun without permit recovered from the scene.
3/23/2018,SEA,Michael Bennett,DE,injury to elderly,Accused of pushing his way past a 66-year-old parapalegic security worker at the Super Bowl in Houston in 2017 when Bennett was a spectator and played for Seattle.
3/23/2018,NE,Duron Harmon,S,drugs,"Apprehended at Costa Rica airport, accused of carrying 58 grams of marijuana inside a can of iced tea."
3/19/2018,BUF,Zay Jones,WR,vandalism,Accused of breaking glass window in bloody argument with his brother in Los Angeles. Jones apparently was nude during the incident.
3/7/2018,DEN,Adam Gotsis,DE,sexual abuse,"Apprehended in Atlanta, accused of rape in an incident that happened in 2013 when Gotsis was a student at Georgia Tech."
3/3/2018,OAK,Aldon Smith,LB,domestic violence,Smith allegedly fled the scene of a domestic incident in which the victim suffered non-life-threatening injuries in San Francisco.
2/26/2018,NYJ,Dylan Donahue,LB,dui,"Accused of drunken driving, driving wrong way in Lincoln Tunnel in New York-New Jersey and crashing into a bus with a blood-alchohol content of 0.15."
2/11/2018,SF,Reuben Foster,LB,domestic violence,"Suspected of domestic violence, possession of an assault rifle and making criminal threats in Los Gatos, Calif."
2/1/2018,CIN,Josh Tupou,DT,alcohol - other,"Kicked out of bar in Boulder, Colo., accused of violating probation from 2015 altercation."
1/25/2018,BAL,Marlon Humphrey,CB,robbery,Accused of stealing $15 phone charger and refusing to give it back to an Uber driver in Alabama.
1/25/2018,KC,Kevin Pierre-Louis,LB,drugs,"Pulled over in Kansas, accused of marijuana possesion and related misdemeanors."
1/19/2018,NYJ,Robby Anderson,WR,evading police,"Accused of reckless driving in Sunrise, Fla., resisting arrest, fleeing police and threatening a police officer's family."
1/14/2018,DEN,Carlos Henderson,WR,drugs,"He was the passenger in a car pulled over for speeding in West Monroe, La., and was suspected of marijuana possession."
1/14/2018,SEA,Jeremy Lane,CB,dui,"Pulled over and suspected of drunken driving in King County, Wash. Lane said his blood-alcohol content was .03."
1/12/2018,SF,Reuben Foster,LB,drugs,"Accused of misdemeanor marijuana possession in Tuscaloosa, Ala."
1/3/2018,TB,T.J. Ward,S,drugs,"Accused of marijuana possession in Tampa, based on outstanding warrant from incident in October 2017."
12/15/2017,NYJ,Rashard Robinson,CB,drugs,"Pulled over for careless driving in Hanover Township, N.J., accused of possessing candy containing marijuana."
12/10/2017,SEA,Malik McDowell,DT,disorderly conduct,Accused of being disruptive at night club in Georgia despite police warnings.
11/18/2017,MIA,Rey Maualuga,LB,battery,Accused of grabbing and shoving a person at Miami nightclub after refusing to pay a $40 bar tab.
11/13/2017,CAR,Matt Kalil,OT,alcohol - other,Accused of selling alcohol to minor at pizza restaurant he owns in Minnesota despite not being present for sale.
11/11/2017,KC,Roy Miller,DT,domestic violence,Suspected of domestic battery in Jacksonville. Arrest report said his wife had marks on her face and neck after confrontation.
10/5/2017,CIN,Tyler Boyd,WR,drugs,Charged with owning a vape pen containing marijuana ingredient after friend crashed his car in Pittsburgh in July.
10/1/2017,GB,Aaron Jones,RB,dui,"Pulled over for speeding in Ashwaubenon, Wisc., accused of operating a vehicle with a restricted substance after smoking marijuana."
10/1/2017,GB,Aaron Jones,RB,drugs,"Pulled over for speeding in Ashwaubenon, Wisc., accused of operating a vehicle with a restricted substance after smoking marijuana."
9/22/2017,LAR,Ethan Westbrooks,DE,firearms,"Pulled over for speeding near Bakersfield, Calif. Police found gun in his car and suspected him of carrying a stolen loaded firearm."
9/2/2017,GB,Lance Kendricks,TE,drugs,"Pulled over speeding in Wisconsin, cited for marijuana possession."
9/1/2017,CLE,T.Y. McGill,DT,drugs,Accused of misdemeanor marijuana posession at hotel in Charlotte.
8/18/2017,NYG,Michael Bowie,OT,domestic violence,"Accused of domestic assault and battery, grabbing girlfriend by the neck and throwing her to the ground in Tulsa."
8/17/2017,OAK,Sean Smith,CB,assault,"Charged with felony assault for incident in Pasadena, Calif., on July 4. Accused of stomping on head of sister's boyfriend."
