player,position,crimeraw,crime_count
Joejuan Williams,CB,drugs,1
Xavien Howard,CB,domestic violence,1
Kameron Kelly,S,disorderly conduct,1
Antwaun Woods,DT,drugs,1
Daniel Ross,DT,"drugs, gun",2
Jayron Kearse,S,"dui, drugs",2
Anthony Chickillo,LB,domestic violence,1
Marcell Dareus,DT,drugs,1
Kareem Jackson,S,dui,1
Darius Philon,DT,"assault, gun",2
Patrick Chung,S,drugs,1
Kam Moore,S,domestic violence,1
Robert Nkemdiche,DE,license,1
Tyrel Dodson,LB,domestic violence,1
Jalen Mills,CB,disorderly conduct,1
Tyrone Crawford,DE,disorderly conduct,1
Antonio Morrison,LB,disorderly conduct,1
Trevor Bates,LB,assault,1
P.J. Williams,CB,dui,1
Montae Nicholson,S,assault,1
Reuben Foster,LB,domestic violence,1
Mychal Kendricks,LB,insider trading,1
Vernon Butler,DT,assault,1
Marquez White,CB,assault,1
Chris McCain,DE,battery,1
Antwione Williams,LB,dui,1
Daryl Worley,CB,dui,1
Michael Bennett,DE,injury to elderly,1
Duron Harmon,S,drugs,1
Adam Gotsis,DE,sexual assault,1
Aldon Smith,LB,domestic violence,1
Dylan Donahue,LB,dui,1
Reuben Foster,LB,domestic violence,1
Josh Tupou,DT,public intoxication,1
Marlon Humphrey,CB,robbery,1
Kevin Pierre-Louis,LB,drugs,1
Jeremy Lane,CB,dui,1
Reuben Foster,LB,drugs,1
T.J. Ward,S,drugs,1
Rashard Robinson,CB,drugs,1
Malik McDowell,DT,disorderly conduct,1
Rey Maualuga,LB,battery,1
Roy Miller,DT,domestic violence,1
Ethan Westbrooks,DE,gun,1
T.Y. McGill,DT,drugs,1
Sean Smith,CB,assault,1
Dante Fowler,DE,battery,1
Adolphus Washington,DT,gun,1
Damien Wilson,LB,"assault, gun",2
Artie Burns,CB,suspended license,1
Letroy Guion,DT,dui,1
Lorenzo Mauldin,LB,assault,1
Nolan Carroll,CB,dui,1
Dylan Donahue,LB,dui,1
Junior Galette,LB,disorderly conduct,1
Tramaine Brock,CB,domestic violence,1
Will Parks,S,domestic violence,1
Makinton Dorleant,CB,police interference,1
Deiondre Hall,CB,disorderly conduct,1
Ethan Westbrooks,DT,domestic violence,1
Matt Elam,S,drugs,1
David Parry,DT,"dui, resisting arrest",2
Darrelle Revis,CB,assault,1
Sam Shields,CB,drugs,1
Khaseem Greene,LB,gun,1
Adam Jones,CB,assault,1
Damontre Moore,DE,dui,1
Leon Orr,DT,drugs,1
Troy Hill,CB,dui,1
Nigel Bradham,LB,gun,1
Nigel Bradham,LB,assault,1
Dan Skuta,LB,battery,1
T.J. McDonald,S,dui,1
Ra' Shede Hageman,DT,domestic violence,1
Damian Swann,CB,reckless driving,1
Terrell Suggs,LB,license,1
Jonathan Newsome,LB,drugs,1
Shiloh Keo,S,dui,1
Armonty Bryant,LB,drugs,1
De'Ante Saunders,S,dui,1
Justin Blackmon,LB,dui,1
Ahmad Brooks,LB,sexual battery,1
Aldon Smith,LB,dui,1
Justin Cox,DB,domestic violence,1
Sheldon Richardson,DE,resisting arrest,1
Brandon Ivory,DT,burglary,1
Brandon Spikes,LB,hit-and-run,1
Prince Shembo,LB,animal cruelty,1
Ray McDonald,DT,domestic violence,1
Brian Dixon,CB,resisting officer,1
Antwon Blake,CB,public intoxication,1
Alex Okafor,LB,evading arrest,1
Jarrett Bush,CB,public intoxication,1
Victor Hampton,CB,dui,1
Nate Allen,S,indecent exposure,1
Letroy Guion,DT,"drugs, gun",2
D'Qwell Jackson,LB,assault,1
Terrence Cody,DT,"animal cruelty, drugs",2
Andrew Jackson,LB,dui,1
Datone Jones,DE,drugs,1
Josh McNary,LB,"domestic violence, rape",2
Tim Jennings,CB,dui,1
Junior Galette,LB,domestic violence,1
Jermaine Cunningham,LB,"gun, privacy invasion",2
Jabari Price,CB,dui,1
Dwayne Gratz,CB,trespassing,1
John Boyett,S,assault,1
Tom Johnson,DT,trespassing,1
Derrick Shelby,DE,trespassing,1
Ray McDonald,DE,domestic violence,1
Alan Branch,DT,dui,1
Bashaud Breeland,CB,drugs,1
Jo-Lonn Dunbar,LB,battery,1
Keelan Johnson,S,assault,1
Jimmy Smith,CB,disorderly conduct,1
John Abraham,LB,dui,1
Sam Montgomery,DE,speeding,1
Andrew Jackson,LB,dui,1
Cornelius Washington,DE,license,1
Sean Smith,CB,dui,1
Marcell Dareus,DT,reckless driving,1
T.J. Ward,S,assault,1
Greg Hardy,DE,domestic violence,1
Marcell Dareus,DT,drugs,1
Aldon Smith,LB,disorderly conduct,1
Greg Reid,CB,probation violation,1
Chris Culliver,CB,"reckless driving, weapon",2
Adewale Ojomo,DE,solicitation,1
Akeem Spence,DT,drugs,1
Erin Henderson,LB,"dui, drugs",2
Thomas Keiser,LB,assault,1
Henry Melton,DT,"assault, alcohol",2
Will Hill,S,child support,1
A.J. Jefferson,CB,domestic violence,1
Erin Henderson,LB,dui,1
Aldon Smith,LB,gun,1
Adam Jones,CB,disorderly conduct,1
Aldon Smith,LB,"dui, drugs",2
Von Miller,LB,license,1
John Boyett,S,public intoxication,1
Nigel Bradham,LB,drugs,1
Von Miller,LB,outstanding warrant,1
Eric Wright,CB,dui,1
Alfonzo Dennard,CB,dui,1
Dan Connor,LB,weapon,1
Joe Lefeged,S,gun,1
Ausar Walcott,LB,attempted murder,1
Adam Jones,CB,assault,1
Cody Grimm,S,public intoxication,1
Armonty Bryant,DE,dui,1
Daryl Washington,LB,domestic violence,1
Claude Davis,DE,drugs,1
Cliff Harris,CB,drugs,1
Rolando McClain,LB,disorderly conduct,1
Ronnell Lewis,LB,public intoxication,1
William Moore,S,domestic violence,1
Quentin Groves,LB,solicitation,1
Amari Spievey,S,domestic violence,1
Trumaine Johnson,CB,dui,1
Kaluka Maiava,LB,assault,1
Cody Grimm,S,public intoxication,1
Quinton Carter,S,fraud,1
Desmond Bryant,DT,criminal mischief,1
Da'Quan Bowers,DE,gun,1
Moise Fokou,LB,dui,1
Leroy Hill,LB,domestic violence,1
Jay Ratliff,DT,dui,1
Rolando McClain,LB,false name,1
Robert Sands,S,domestic violence,1
Josh Brent,DT,dui,1
Jovan Belcher,LB,"murder, gun",2
Jonathan Amaya,S,battery,1
Bryan Thomas,LB,domestic violence,1
Ahmad Black,CB,drugs,1
Alameda Ta'amu,DT,dui,1
John Abraham,DE,obstruction,1
Aaron Berry,CB,"assault, gun",2
Donald Washington,CB,"dui, drugs",2
Elvis Dumervil,DE,"assault, gun",2
Odrick Ray,DE,traffic warrants,1
Robert Quinn,DE,dui,1
Eric Wright,CB,dui,1
Kiante Tripp,DT,"burglary, gun",2
Albert McClellan,LB,domestic violence,1
Aaron Berry,CB,dui,1
Nick Fairley,DT,dui,1
Brandon Meriweather,S,dui,1
Nick Fairley,DT,drugs,1
Koa Misi,LB,battery,1
Leroy Hill,LB,drugs,1
Nate Collins,DT,drugs,1
J.T. Thomas,LB,drugs,1
Ray McDonald,DE,outstanding warrant,1
Rey Maualuga,LB,assault,1
Aldon Smith,LB,dui,1
Benny Sapp,CB,assault,1
Rolando McClain,LB,"assault, gun",2
Erik Walden,LB,domestic violence,1
Lawrence Wilson,LB,drugs,1
Chris Cook,CB,domestic violence,1
Ryan McBean,DT,stalking,1
Johnny Jolly,DE,drugs,1
Tyrell Johnson,S,dui,1
Jerry Hughes,DE,public intoxication,1
Marvin White,S,assault,1
