player,position,crimeraw,crime_count
Odell Beckham,WR,battery,1
Julian Edelman,WR,vandalism,1
Mark Walton,RB,domestic violence,1
Davion Davis,WR,dui,1
Desmond Harrison,OT,domestic violence,1
Ryan Griffin,TE,public intoxication,1
Leonard Fournette,RB,license,1
Mark Walton,RB,"drugs, gun",2
Alex Collins,RB,"drugs, gun",2
Mark Walton,RB,battery,1
De''Anthony Thomas,WR,drugs,1
Roc Thomas,RB,drugs,1
Mark Walton,RB,drugs,1
Kyle Lauletta,QB,eluding police,1
Chad Kelly,QB,trespassing,1
Aaron Neary,OC,dui,1
Rico Gathers,TE,drugs,1
Cayleb Jones,WR,domestic assault,1
Antonio Callaway,WR,drugs,1
Ricky Seals-Jones,TE,assault,1
Logan Woodside,QB,dui,1
Chris Herndon,TE,dui,1
Terrance Williams,WR,public intoxication,1
Trevor Davis,WR,bomb threat,1
Zay Jones,WR,vandalism,1
Robby Anderson,WR,eluding police,1
Carlos Henderson,WR,drugs,1
Matt Kalil,OT,selling alcohol to minor,1
Tyler Boyd,WR,drugs,1
Aaron Jones,RB,"dui, drugs",2
Lance Kendricks,TE,drugs,1
Michael Bowie,OT,domestic violence,1
D'Onta Foreman,RB,"drugs, gun",2
Willie Snead,WR,dui,1
Roger Lewis,WR,"dui, drugs",2
Robby Anderson,WR,resisting arrest,1
Michael Oher,OT,assault,1
Trevone Boykin,QB,probation violation,1
Marquis Bundy,WR,disorderly conduct,1
Trevone Boykin,QB,drugs,1
Demetrius Harris,TE,drugs,1
King Dunlap,OT,violating court order,1
Tre Mason,RB,eluding police,1
Geronimo Allison,WR,drugs,1
Michael Floyd,WR,dui,1
Josh Huff,WR,"dui, drugs, gun",3
Isame Faciane,OG,dui,1
Alvin Bailey,OG,dui,1
Austin Seferian-Jenkins,TE,dui,1
Bruce Miller,TE,assault,1
Jonathan Williams,RB,dui,1
Robert Turbin,RB,drugs,1
Cody Latimer,WR,traffic warrant,1
Cameron Artis-Payne,RB,reckless driving,1
Tre Mason,RB,drugs,1
Jaelen Strong,WR,drugs,1
Montee Ball,RB,domestic violence,1
Johnny Manziel,QB,domestic violence,1
J.J. Worton,WR,assault,1
Derrick Coleman,FB,hit-and-run,1
Dorial Green-Beckham,WR,outstanding warrant,1
Stephen Hill,WR,drugs,1
Justin Hunter,WR,assault,1
Josh Brown,K,violating court order,1
Andrew Quarless,TE,gun,1
Josh Brown,K,domestic violence,1
Rodney Austin,OG,domestic violence,1
Bernard Pierce,RB,dui,1
Bruce Miller,FB,domestic violence,1
Ahmad Bradshaw,RB,drugs,1
Joseph Randle,RB,drugs,1
Bobby Massie,OT,dui,1
Oday Aboushi,OG,drugs,1
Chris Johnson,RB,gun,1
Shonn Greene,RB,handicap parking,1
Joseph Randle,RB,theft,1
Da'Rick Rogers,WR,dui,1
Jonathan Dwyer,RB,domestic violence,1
Adrian Peterson,RB,child abuse,1
Quincy Enunwa,WR,domestic violence,1
Le'Veon Bell,RB,drugs,1
LeGarrette Blount,RB,drugs,1
Justin Blackmon,WR,drugs,1
Jerome Simpson,WR,drugs,1
Josh Gordon,WR,dui,1
Darius Johnson,WR,dui,1
Lorenzo Taliaferro,RB,public intoxication,1
Josh Morgan,WR,assault,1
Tandon Doss,WR,disorderly conduct,1
Orson Charles,FB,gun,1
Jah Reid,OL,battery,1
Kory Sheets,RB,drugs,1
Deonte Thompson,WR,drugs,1
Fred Davis,TE,dui,1
Roddy White,WR,failure to appear,1
Ray Rice,RB,domestic violence,1
Daniel Kilgore,OG,public intoxication,1
Davone Bess,WR,assault,1
Spencer Ware,RB,dui,1
Michael Hill,RB,resisting arrest,1
Kellen Winslow Jr.,TE,drugs,1
Jason Snelling,FB,drugs,1
Dwayne Bowe,WR,drugs,1
Jerome Simpson,WR,dui,1
Lequan Jefferson,TE,dui,1
Julius Thomas,TE,failure to appear,1
Joe McKnight,RB,outstanding warrant,1
Aaron Hernandez,TE,"murder, gun",2
Jason Peters,OT,resisting arrest,1
Damien Berry,RB,failure to appear,1
Evan Rodriguez,FB,dui,1
Joe Morgan,WR,dui,1
Quentin Saulsberry,C,dui,1
Mike Goodson,RB,"drugs, gun",2
Josh Portis,QB,dui,1
Greg Little,WR,reckless driving,1
Evan Rodriguez,FB,resisting arrest,1
Javarris James,RB,failure to appear,1
J'Marcus Webb,OT,drugs,1
Brandon Barden,TE,dui,1
Al Netter,OG,dui,1
Andre Smith,OT,gun,1
Chris Rainey,RB,domestic violence,1
Demarcus Dobbs,TE,dui,1
Michael Turner,RB,dui,1
Ronald Leary,OG,dui,1
John Moffitt,OG,disorderly conduct,1
Chad Johnson,WR,domestic violence,1
Kenny Britt,WR,dui,1
Dez Bryant,WR,domestic violence,1
Marshawn Lynch,RB,dui,1
Dion Lewis,RB,reckless endangerment,1
Isaiah Pead,RB,drugs,1
Adrian Peterson,RB,resisting arrest,1
David Diehl,OT,dui,1
Justin Blackmon,WR,dui,1
Jerome Felton,FB,dui,1
Caleb King,RB,assault,1
Darrius Heyward-Bey,WR,dui,1
Mikel Leshoure,RB,drugs,1
Jarriel King,OT,sex,1
Mikel Leshoure,RB,drugs,1
Knowshon Moreno,RB,dui,1
Johnny Culbreath,OT,drugs,1
Jerome Simpson,WR,drugs,1
Sam Hurd,WR,drugs,1
Julian Edelman,WR,assault,1
Kevin Ogletree,WR,outstanding warrant,1
Rhett Bomar,QB,dui,1
Matt Prater,K,dui,1
Paul Hubbard,WR,dui,1
Cedric Benson,RB,assault,1
Hines Ward,WR,dui,1
Kenny Britt,WR,outstanding warrant,1
Javarris James,RB,drugs,1
Kenny Britt,WR,drugs,1
Garrett Wolfe,RB,theft,1
Kenny Britt,WR,obstruction,1
Louis Murphy,WR,drugs,1
Jason Peters,OT,disturbing the peace,1
Mario Henderson,OT,gun,1
King Dunlap,OT,disorderly conduct,1
Michael Bush,RB,dui,1
Legedu Naanee,WR,public intoxication,1
Kenny Britt,WR,theft,1
Laurence Maroney,RB,"drugs, gun",2
Mike Williams,WR,dui,1
Jerramy Stevens,TE,drugs,1
Pat McAfee,P,alcohol,1
Dwayne Jarrett,WR,dui,1
Braylon Edwards,WR,dui,1
Fred Davis,TE,reckless driving,1
Kenny Britt,WR,license,1
Quinton Ganther,RB,dui,1
Chris Simms,QB,"dui,drugs",2
Cedric Benson,RB,assault,1
Vince Young,QB,assault,1
Mario Urrutia,WR,license,1
Fred Davis,TE,license,1
Maurice Purify,WR,disorderly conduct,1
Chris Jennings,RB,assault,1
Fred Davis,TE,license,1
Ronnie Brown,RB,dui,1
Spencer Havner,TE,dui,1
Deon Anderson,FB,gun,1
Chad Rinehart,OT,public intoxication,1
Vincent Jackson,WR,license,1
Kenny Britt,WR,license,1
Taj Smith,WR,dui,1
Eric Weems,WR,dui,1
Marcus Johnson,OG,dui,1
Braylon Edwards,WR,assault,1
Jeff Reed,K,alcohol,1
Matt Spaeth,TE,public urination,1
Lance Louis,OT,assault,1
Richard Quinn,TE,domestic violence,1
Chris Davis,WR,dui,1
Vonta Leach,FB,assault,1
Owen Schmitt,FB,dui,1
Quinn Ojinnaka,OT,domestic violence,1
Brandon Walker,OG,dui,1
Corey McIntyre,FB,indecent exposure,1
Brandon Walker,OG,outstanding warrant,1
Anthony Mix,WR,sex,1
Biren Ealy,WR,alcohol,1
Kolomona Kapanui,TE,alcohol,1
Donte Stallworth,WR,"dui, manslaughter",2
Cornell Green,OT,domestic violence,1
Matt Jones,WR,alcohol,1
Brandon Marshall,WR,domestic dispute,1
Jeff Reed,K,disorderly conduct,1
Marshawn Lynch,RB,"guns, drugs",2
Reggie Williams,WR,"dui, drugs",2
Michael Merritt,TE,drugs,1
Jonathan Dekker,TE,obstruction,1
Vincent Jackson,WR,dui,1
Jeremy Bridges,OG,assault,1
Plaxico Burress,WR,gun,1
Kareem McKenzie,OG,dui,1
Larry Johnson,RB,assault,1
Santonio Holmes,WR,drugs,1
Danny Ware,RB,alcohol,1
Fred Taylor,RB,disorderly conduct,1
Jameel Cook,RB,drugs,1
Matt Jones,WR,drugs,1
J.J. Arrington,RB,disorderly conduct,1
Ahmad Bradshaw,RB,probation violation,1
Brandon Jones,WR,gun,1
Cedric Benson,RB,dui,1
Marshawn Lynch,RB,reckless driving,1
Cedric Benson,RB,dui,1
Nick Kaczur,OT,drugs,1
Kenton Keith,RB,alcohol,1
Reagan Mauia,RB,battery,1
Chris Henry,WR,assault,1
Cedrick Wilson,WR,domestic violence,1
Jacoby Jones,WR,dui,1
LenDale White,RB,disorderly conduct,1
Dwayne Jarrett,WR,dui,1
Brandon Marshall,WR,domestic violence,1
Kevin Faulk,RB,drugs,1
Larry Johnson,RB,assault,1
Bryant McKinnie,OT,battery,1
Andre Hall,RB,license,1
Jerome Mathis,WR,domestic violence,1
Roscoe Parrish,WR,dui,1
Matt Prater,K,dui,1
Daniel Graham,TE,domestic violence,1
Stockar McDougle,OT,battery,1
